name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref
Jockey 2714 Men's Super Combed Cotton Rich Solid Round Neck Half Sleeve T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/71DaKKQ93ZL._AC_UL320_.jpg,https://www.amazon.in/Jockey-2714-0105-WHITE-White-T-Shirt-2714-0105-WHITE_White_M/dp/B012STP7EO/ref=sr_1_15?qid=1679139859&s=apparel&sr=1-15,4.3,"20,231",,₹549,A_TSHIRT_011
Levi's Men's 025 Round Neck Cotton T-Shirt with Smartskin Technology,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61ZPKT4-37L._AC_UL320_.jpg,https://www.amazon.in/Levis-Plain-Regular-T-Shirt-PR679313_Black/dp/B07XK9H5KF/ref=sr_1_16?qid=1679139859&s=apparel&sr=1-16,4.1,"2,784",₹439,₹549,A_TSHIRT_012
Urbano Fashion Men's Printed Full Sleeve Slim Fit Cotton T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61bDoqhvEPL._AC_UL320_.jpg,https://www.amazon.in/Urbano-Fashion-Printed-T-Shirt-aopleaffull-drgreen-XL/dp/B08JQKHXGN/ref=sr_1_17?qid=1679139859&s=apparel&sr=1-17,3.7,"4,871",₹399,"₹1,099",A_TSHIRT_013
LEOTUDE Men's Oversized Cottonblend Half Sleeve T-Shirts (Color: Brown),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61pD8Fq89IL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Oversized-Round-T-Shirts-FS49_LOSANGELES_P_Brown_M/dp/B0BVW4R64W/ref=sr_1_18?qid=1679139859&s=apparel&sr=1-18,2.7,11,₹299,"₹1,099",A_TSHIRT_014
Amazon Brand - Symbol Men's Regular Fit T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/910H0HbOt5L._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17PLPO3-3_L_Multicolor3/dp/B073X3Y6VL/ref=sr_1_19?qid=1679139859&s=apparel&sr=1-19,4.0,"16,187",₹499,"₹2,097",A_TSHIRT_015
Cristiano Ronaldo 7 Football Home Jersey 2023/24 with Black Shorts (Men & Boys),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/41F4PM5jxmL._AC_UL320_.jpg,https://www.amazon.in/Cristiano-Ronaldo-Football-Jersey-9-10Years/dp/B0BTHFVRVH/ref=sr_1_20?qid=1679139859&s=apparel&sr=1-20,4.0,2,₹415,₹999,A_TSHIRT_016
The Modern Soul Men's & Women Oversized T-Shirts,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/618jtrnUUwL._AC_UL320_.jpg,https://www.amazon.in/Modern-Soul-Oversized-T-Shirts-Medium/dp/B0BVTG2QPQ/ref=sr_1_25?qid=1679139859&s=apparel&sr=1-25,3.6,13,₹379,"₹1,299",A_TSHIRT_017
London Hills Solid Men's Round Neck Half Sleeve Sports T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61XKzywjH8L._AC_UL320_.jpg,https://www.amazon.in/London-Hills-Solid-Round-T-Shirt/dp/B09RH9Z31G/ref=sr_1_26?qid=1679139859&s=apparel&sr=1-26,3.7,612,₹179,"₹1,299",A_TSHIRT_018
Allen Solly Men's Regular Fit Polo,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/81RcNGzlIhL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Regular-T-Shirt-ASKPQRGFY97107_Light/dp/B08KTZB14H/ref=sr_1_27?qid=1679139859&s=apparel&sr=1-27,4.2,"3,868",₹579,"₹1,199",A_TSHIRT_019
LEOTUDE Men's Oversized Cottonblend Back Printed Round Neck T-Shirt(Color: Black),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61fhnxz9S6L._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Oversize-Round-T-Shirt-FS49_Punisher_P_Black_L/dp/B0BVB3Z5Y5/ref=sr_1_28?qid=1679139859&s=apparel&sr=1-28,4.0,13,₹299,"₹1,099",A_TSHIRT_020
SHAUN Men T-Shirt (N704MT3_$P_Pack of 3),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/813gJRfNKKL._AC_UL320_.jpg,https://www.amazon.in/SHAUN-Men-T-Shirt-N704MT3_D42_Multicolored_Large_Pack-3/dp/B09QMDFKK2/ref=sr_1_29?qid=1679139859&s=apparel&sr=1-29,3.6,"2,848",₹509,₹999,A_TSHIRT_021
Veirdo® Pure Cotton Oversize Loose Baggy Fit Round Neck Half Sleeve Black Graphic Teddy Printed T-Shirt for Men & Boys,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/614XpiTNZoL._AC_UL320_.jpg,https://www.amazon.in/Veirdo%C2%AE-Oversize-Graphic-Printed-T-Shirt/dp/B0BLGWYB11/ref=sr_1_30?qid=1679139859&s=apparel&sr=1-30,4.3,25,₹439,"₹1,199",A_TSHIRT_022
LEOTUDE Regular Fit Half Sleeve Polo T-Shirt for Men's,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/61m6xrr0HmL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Regular-Sleeve-T-Shirts-P44_Olive_P_Olive_L/dp/B0BNJ7N765/ref=sr_1_31?qid=1679139859&s=apparel&sr=1-31,3.8,143,₹294,"₹1,099",A_TSHIRT_023
U.S. POLO ASSN. Men's Regular fit T-Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/51BME9MSQkL._AC_UL320_.jpg,https://www.amazon.in/U-S-Polo-Assn-I638-978-PL_Blue-Melange_Large/dp/B0793LFJZP/ref=sr_1_32?qid=1679139859&s=apparel&sr=1-32,3.9,"5,982",₹499,₹699,A_TSHIRT_024
