name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref
Pramadda Pure Luxury Mini Faux Leather Mobile Sling Bag For Women | Stylish Side Shoulder Crossbody Bags For Girls Daily U...,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71m6UEyzSBL._AC_UL320_.jpg,https://www.amazon.in/Pramadda-Pure-Luxury-Crossbody-Messenger/dp/B09RKKGQVR/ref=sr_1_19?qid=1679158589&s=shoes&sr=1-19,4.6,"1,257",₹495,"₹1,799",A_BAG_015
ASTIR COLLEEN Women's Sling Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/510zTEarEBL._AC_UL320_.jpg,https://www.amazon.in/ASTIR-COLLEEN-Womens-Girls-Sling/dp/B08KZC1NNH/ref=sr_1_20?qid=1679158589&s=shoes&sr=1-20,4.1,"1,095",₹297,"₹1,199",A_BAG_016
Lavie Women's Marma Dome Sling Bag| Ladies Purse Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/713obr3SySS._AC_UL320_.jpg,https://www.amazon.in/Marma-Zig-Zag-Sling-Navy/dp/B08KR4WRM6/ref=sr_1_25?qid=1679158589&s=shoes&sr=1-25,4.0,"2,826",₹861,"₹2,690",A_BAG_017
INOVERA (LABEL) Faux Leather Tri-fold Fashion Card Coin Small Clutch Wallet for Women (KK29) - Black,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61EciXxATmL._AC_UL320_.jpg,https://www.amazon.in/INOVERA-LABEL-Leather-Tri-fold-Fashion/dp/B094ZRCW4D/ref=sr_1_26?qid=1679158589&s=shoes&sr=1-26,4.2,"1,940",₹447,₹999,A_BAG_018
"Vivinkaa Sling Bag for Women stylish Latest Branded, Sling Bag Women, Sling Bags for Women I Ethnic Printed Purse for wome...",accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+FCdcCGuL._AC_UL320_.jpg,https://www.amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53/ref=sr_1_27?qid=1679158589&s=shoes&sr=1-27,3.8,"1,799",₹499,"₹1,199",A_BAG_019
ALSU Women's Maroon Faux Leather Hand Wallet Clutch Trendy | 6 Card Slots | Phone Pocket (shd-004mar),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61PuHuhVxFL._AC_UL320_.jpg,https://www.amazon.in/ALSU-Maroon-Leather-WomensWallet-SHD-004/dp/B08P9GWYJR/ref=sr_1_28?qid=1679158589&s=shoes&sr=1-28,4.1,"1,749",₹397,"₹1,699",A_BAG_020
"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Light...",accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71F0cwUEG9L._AC_UL320_.jpg,https://www.amazon.in/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z/ref=sr_1_29?qid=1679158589&s=shoes&sr=1-29,4.2,647,₹449,"₹2,250",A_BAG_021
"The Purple Tree Canvas Tote Bag For Women - 1 Pc , women tote bag , canvas tote bag , printed tote bag , printed canvas to...",accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61jFTkzkj6L._AC_UL320_.jpg,https://www.amazon.in/Purple-Tree-Canvas-Tote-Women/dp/B07PDYTXD7/ref=sr_1_30?qid=1679158589&s=shoes&sr=1-30,4.2,384,₹299,₹699,A_BAG_022
Belladona Women's & Girls' Handbag (POH_7_Black),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41RRMBKpRCL._AC_UL320_.jpg,https://www.amazon.in/Belladona-Leather-Small-Pouch-Women/dp/B078LPDN6D/ref=sr_1_31?qid=1679158589&s=shoes&sr=1-31,4.0,"1,140",₹389,₹999,A_BAG_023
Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51tVsLh1HaL._AC_UL320_.jpg,https://www.amazon.in/Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWMW646/ref=sr_1_32?qid=1679158589&s=shoes&sr=1-32,3.8,"1,313",₹320,₹399,A_BAG_024
