name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref,supplier_id
"ishin Women's Faux Georgette Saree With Blouse Piece (Ishinsp-Ss-128, Beige & Pink, Free Size)",women's clothing,Clothing,https://m.media-amazon.com/images/I/81vs9El8VVL._AC_UL320_.jpg,https://www.amazon.in/ishin-Womens-Georgette-Blouse-Ishinsp-Ss-128/dp/B073Y63Z9S/ref=sr_1_98?qid=1679152742&s=apparel&sr=1-98,2.6,5,₹589.41,₹999,A_CLOTH_090,supplier_a
ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Lochna-Nw31),women's clothing,Clothing,https://m.media-amazon.com/images/I/61IzrpxjBfL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Printed-Grey_Medium/dp/B0B9L4PJHR/ref=sr_1_100?qid=1679152742&s=apparel&sr=1-100,3.8,778,₹419,"₹2,599",A_CLOTH_092,supplier_a
ANNI DESIGNER Women's Cotton Blend Straight Printed Kurta with Pant (Lochna-Nw31),women's clothing,Clothing,https://m.media-amazon.com/images/I/61IzrpxjBfL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Printed-Grey_Medium/dp/B0B9L4PJHR/ref=sr_1_114?qid=1679152743&s=apparel&sr=1-114,3.8,778,₹419,"₹2,599",A_CLOTH_110,supplier_a
"dclub Nipple Covers Reusable Comfortable & Natural Invisible Adhesive Silicone Pasties for Women, Round (Skin)",women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51M087p7ktL._AC_UL320_.jpg,https://www.amazon.in/dclub-Reusable-Comfortable-Invisible-Adhesive/dp/B09TFP288T/ref=sr_1_5_mod_primary_new?qid=1679152740&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5,4.3,"2,880",₹191,"₹1,200",A_CLOTH_001,supplier_a
SGF11 Women's Kanjivaram Soft Silk Saree With Blouse Piece,women's clothing,Clothing,https://m.media-amazon.com/images/I/61PGFWgswDL._AC_UL320_.jpg,https://www.amazon.in/SGF11-Womens-Kanjivaram-Saree-Blouse/dp/B09SD315VM/ref=sr_1_97?qid=1679152742&s=apparel&sr=1-97,3.6,956,₹649,"₹5,999",A_CLOTH_089,supplier_a
"Boldfit Socks for Men & Women Unisex Stylish Design Sports Socks for Boys & Girls, Cotton Ankle Socks for Men Anti-Slip At...",women's clothing,Clothing,https://m.media-amazon.com/images/I/61Z5T--en-L._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Stylish-Anti-Slip-Athletic-Running/dp/B0BL72KTG9/ref=sr_1_109?qid=1679152743&s=apparel&sr=1-109,4.4,172,₹299,₹499,A_CLOTH_105,supplier_a
Ishin Poly Georgette Black Printed Women's Saree/Sari With Lace,women's clothing,Clothing,https://m.media-amazon.com/images/I/716vFfyRe3L._AC_UL320_.jpg,https://www.amazon.in/Ishin-Georgette-Blouse-Piece-Ishinsidm-48028_Black_Free/dp/B07GCSF8NK/ref=sr_1_74?qid=1679152742&s=apparel&sr=1-74,3.5,123,,,A_CLOTH_066,supplier_a
Jockey Womens Solid Shorts,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71P4l4Qyo4L._AC_UL320_.jpg,https://www.amazon.in/Jockey-1529-Womens-Shorties-1529_Black_X-Large/dp/B01BSCPMGA/ref=sr_1_54?qid=1679152740&s=apparel&sr=1-54,4.3,"9,281",₹309,₹339,A_CLOTH_046,supplier_a
"FIMALIA 36 & 72 Pc Double Sided Tape for Clothes Bra Stickers One-off Body Skin Tape,Invisible Clear Bra Clothing Tape Str...",women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71vqVTHXebL._AC_UL320_.jpg,https://www.amazon.in/FIMALIA-Stickers-Invisible-Clothing-Friendly/dp/B0B69GVFGF/ref=sr_1_40?qid=1679152740&s=apparel&sr=1-40,3.7,65,₹169,₹500,A_CLOTH_032,supplier_a
Shiv Textiles Women's Pure Georgette Saree With Blouse Piece,women's clothing,Clothing,https://m.media-amazon.com/images/I/717H2HWQ1HL._AC_UL320_.jpg,https://www.amazon.in/Shiv-Textiles-Womens-Georgette-CRUSH-PURPLE_Purple/dp/B09VGX5GR5/ref=sr_1_79?qid=1679152742&s=apparel&sr=1-79,3.8,746,₹699,"₹1,499",A_CLOTH_071,supplier_a
Electomania Women's Silk Underskirt (SH02399_White_Free Size),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41rS-qOPTwL._AC_UL320_.jpg,https://www.amazon.in/Electomania%C2%AE-Underskirt-Netting-Petticoat-Petticoat-Prom/dp/B07RYTK7LB/ref=sr_1_51?qid=1679152740&s=apparel&sr=1-51,3.8,"3,578","₹1,099","₹1,999",A_CLOTH_043,supplier_a
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant (Pustak Blue),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61q-JREtrAL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Pustak-Blue_M_Blue_Medium/dp/B0BV6WSF33/ref=sr_1_17?qid=1679152740&s=apparel&sr=1-17,4.0,37,₹435,"₹2,599",A_CLOTH_013,supplier_a
FIMS - Fashion is my style Bra Hook Extender-2 Hook - 3 Eye (with Extra Elastic) Save Your Bra Increase Band Length-Bra Ex...,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81v-vugaIUL._AC_UL320_.jpg,https://www.amazon.in/FIMS-Fashion-Womens-Extender-Elastic/dp/B07DD7D3W8/ref=sr_1_20?qid=1679152740&s=apparel&sr=1-20,4.3,"7,870",₹124,₹700,A_CLOTH_016,supplier_a
GRECIILOOKS Western Top for Women - Floral Printed & Split V Neck Short Stand Collar Tee Top for Girls Suitable for Workou...,women's clothing,Clothing,https://m.media-amazon.com/images/I/51YUdTGQZtL._AC_UL320_.jpg,https://www.amazon.in/GRECIILOOKS-Western-Top-Women-Suitable/dp/B0BNJCW93H/ref=sr_1_123?qid=1679152743&s=apparel&sr=1-123,3.2,510,₹349,"₹2,299",A_CLOTH_115,supplier_a
Yashika Women's Full Elastic Cotton Blend Lycra Saree Shapewear Petticoat Free Size,women's clothing,Clothing,https://m.media-amazon.com/images/I/61DplwB9HPL._AC_UL320_.jpg,https://www.amazon.in/Yashika-ShapeWear-Petticoat-SHAPE-BLACK_Free/dp/B09NGWD9TB/ref=sr_1_85?qid=1679152742&s=apparel&sr=1-85,3.3,282,₹189,"₹1,199",A_CLOTH_077,supplier_a
HSR Women Stylish Sleeveless High Mock Neck Stretchable Knit Regular Fit Tank Top (Free Size),women's clothing,Clothing,https://m.media-amazon.com/images/I/51CHzirfbnL._AC_UL320_.jpg,https://www.amazon.in/HSR-Stylish-Sleeveless-Stretchable-Regular/dp/B0B2PHK1JQ/ref=sr_1_102?qid=1679152743&s=apparel&sr=1-102,4.2,742,₹447,₹999,A_CLOTH_098,supplier_a
FIORRA Women's Maroon Poly Crepe A-line Kurta with Pant and Dupatta,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81271aov+AL._AC_UL320_.jpg,https://www.amazon.in/FIORRA-Womens-Straight-Dupatta-SET0058-S/dp/B0B7SD78YS/ref=sr_1_33?qid=1679152740&s=apparel&sr=1-33,4.1,"2,139",₹810,"₹2,599",A_CLOTH_025,supplier_a
SATYAM KRAFT 1 Pcs Women's Retro Stretchy Metal Buckle Skinny Adjustable Stylish Design Ladies Waist Belts for Fancy Girl...,women's clothing,Clothing,https://m.media-amazon.com/images/I/31J0jBdZCOL._AC_UL320_.jpg,https://www.amazon.in/SATYAM-KRAFT-Womens-Elastic-Stretchy/dp/B08Y6VPZ33/ref=sr_1_87?qid=1679152742&s=apparel&sr=1-87,4.3,"2,488",₹219,"₹1,200",A_CLOTH_079,supplier_a
